Submission ID,RMSE,MAE,ME,R\textsuperscript{2},m,Kendall's Tau,Unmatched exp. \pKa{}s,"Unmatched pred. \pKa{}s [2,12]"
nb011,"0.47 [0.30, 0.64]","0.33 [0.22, 0.46]","-0.02 [-0.18, 0.14]","0.97 [0.94, 0.99]","1.01 [0.97, 1.06]","0.90 [0.78, 0.96]",0,36
hdiyq,"0.62 [0.47, 0.76]","0.47 [0.33, 0.62]","0.13 [-0.09, 0.34]","0.95 [0.92, 0.97]","0.34 [0.92, 1.09]","0.87 [0.79, 0.93]",0,16
epvmk,"0.63 [0.43, 0.81]","0.47 [0.32, 0.63]","-0.02 [-0.25, 0.21]","0.95 [0.89, 0.98]","0.21 [0.91, 1.04]","0.81 [0.68, 0.91]",0,37
xnoe0,"0.65 [0.47, 0.82]","0.50 [0.36, 0.66]","-0.1 [-0.32, 0.13]","0.95 [0.89, 0.98]","0.13 [0.92, 1.05]","0.82 [0.69, 0.91]",0,36
gdqeg,"0.65 [0.41, 0.89]","0.43 [0.27, 0.62]","0.11 [-0.10, 0.35]","0.94 [0.88, 0.98]","0.35 [0.87, 1.02]","0.83 [0.67, 0.95]",0,53
4o0ia,"0.66 [0.44, 0.86]","0.47 [0.31, 0.64]","0.00 [-0.22, 0.24]","0.94 [0.88, 0.98]","0.24 [0.87, 1.05]","0.85 [0.73, 0.94]",0,35
nb008,"0.76 [0.48, 1.02]","0.52 [0.34, 0.73]","-0.08 [-0.37, 0.17]","0.93 [0.85, 0.98]","0.17 [0.79, 0.93]","0.84 [0.73, 0.92]",0,35
ccpmw,"0.79 [0.62, 0.94]","0.62 [0.46, 0.80]","-0.17 [-0.44, 0.11]","0.92 [0.86, 0.96]","0.11 [0.82, 1.05]","0.80 [0.67, 0.89]",0,7
0xi4b,"0.84 [0.58, 1.07]","0.61 [0.42, 0.83]","0.22 [-0.07, 0.51]","0.92 [0.84, 0.97]","0.51 [0.91, 1.09]","0.81 [0.65, 0.92]",0,32
cywyk,"0.86 [0.60, 1.10]","0.62 [0.42, 0.84]","0.13 [-0.16, 0.44]","0.90 [0.82, 0.96]","0.44 [0.86, 1.08]","0.81 [0.64, 0.92]",0,35
ftc8w,"0.86 [0.51, 1.17]","0.59 [0.39, 0.83]","0.10 [-0.19, 0.41]","0.90 [0.77, 0.97]","0.41 [0.84, 0.98]","0.75 [0.57, 0.88]",0,35
nxaaw,"0.89 [0.56, 1.25]","0.61 [0.41, 0.87]","-0.02 [-0.35, 0.28]","0.89 [0.75, 0.97]","0.28 [0.85, 1.00]","0.79 [0.63, 0.91]",0,29
nb016,"0.95 [0.71, 1.18]","0.77 [0.57, 0.98]","-0.23 [-0.56, 0.12]","0.89 [0.83, 0.95]","0.12 [0.82, 1.07]","0.75 [0.62, 0.85]",0,3
kxztt,"0.96 [0.56, 1.33]","0.64 [0.41, 0.92]","0.00 [-0.32, 0.36]","0.90 [0.76, 0.97]","0.36 [0.96, 1.13]","0.79 [0.63, 0.91]",0,37
eyetm,"0.98 [0.69, 1.27]","0.72 [0.50, 0.97]"," -0.32 [-0.65, 0.00]","0.91 [0.86, 0.96]","0.00 [0.94, 1.22]","0.78 [0.64, 0.88]",0,7
