Submission ID,RMSE,MAE,ME,R\textsuperscript{2},m,Kendall's Tau,Unmatched exp. \pKa{}s,"Unmatched pred. \pKa{}s [2,12]"
nb016,"0.52 [0.25, 0.71]","0.43 [0.23, 0.65]"," -0.09 [-0.45, 0.30]","0.92 [0.05, 0.99]","0.99 [0.14, 1.16]","0.62 [-0.14, 1.00]",0,3
hdiyq,"0.68 [0.49, 0.83]","0.60 [0.39, 0.80]","0.38 [0.02, 0.70]","0.86 [0.47, 0.98]","0.91 [0.45, 1.26]","0.78 [0.4, 1.00]",0,16
nb011,"0.72 [0.35, 1.07]","0.54 [0.28, 0.86]","0.45 [0.14, 0.83]","0.86 [0.18, 0.98]","0.93 [0.50, 1.21]","0.64 [0.26, 0.95]",0,36
ftc8w,"0.75 [0.52, 0.96]","0.68 [0.50, 0.89]","-0.31 [-0.68, 0.16]","0.87 [0.02, 0.99]","1.12 [-0.11, 1.39]","0.56 [-0.10, 1.00]",0,35
6tvf8,"0.76 [0.55, 0.95]","0.68 [0.46, 0.90]","-0.63 [-0.89, -0.35]","0.92 [0.78, 0.99]","0.94 [0.69, 1.41]","0.87 [0.6, 1.00]",0,55
t8ewk,"0.96 [0.65, 1.19]","0.81 [0.46, 1.13]","-0.77 [-1.12, -0.38]","0.80 [0.53, 0.96]","0.96 [0.76, 2.26]","0.78 [0.31, 1.00]",1,7
v8qph,"0.99 [0.40, 1.52]","0.67 [0.29, 1.17]","-0.09 [-0.75, 0.45]","0.68 [0.11, 0.97]","0.96 [-1.26, 1.16]","0.38 [-0.3, 1.00]",0,6
ccpmw,"1.07 [0.78, 1.27]","0.95 [0.60, 1.25]","-0.83 [-1.25, -0.37]","0.74 [0.43, 0.99]","0.95 [0.70, 2.32]","0.89 [0.52, 1.00]",1,8
0xi4b,"1.15 [0.75, 1.50]","0.98 [0.63, 1.36]"," -0.30 [-0.94, 0.44]","0.77 [0.02, 0.98]","1.26 [0.09, 2.10]","0.51 [-0.14, 1.00]",0,33
cywyk,"1.17 [0.88, 1.41]","1.06 [0.74, 1.35]","-0.47 [-1.09, 0.24]","0.73 [0.02, 0.98]","1.15 [-0.04, 2.00]","0.56 [-0.08, 1.00]",0,36
eyetm,"1.17 [0.77, 1.52]","1.00 [0.61, 1.41]","-0.89 [-1.38, -0.38]","0.67 [0.30, 0.94]","0.93 [0.65, 2.59]","0.72 [0.29, 1.00]",1,8
nb008,"1.26 [0.74, 1.71]","1.09 [0.63, 1.57]","0.47 [-0.40, 1.32]","0.79 [0.01, 0.99]","1.21 [-0.59, 1.85]","0.52 [-0.2, 1.00]",0,38
y4wws,"1.41 [0.95, 1.80]","1.22 [0.78, 1.66]","-0.71 [-1.44, 0.06]","0.87 [0.05, 0.98]","1.55 [0.41, 2.02]","0.56 [-0.11, 1.00]",0,31
ktpj5,"1.46 [0.83, 2.10]","1.15 [0.67, 1.77]","0.94 [0.29, 1.68]","0.77 [0.01, 0.98]","1.28 [-0.26, 1.60]","0.42 [-0.27, 0.95]",0,37
wuuvc,"1.47 [0.84, 2.09]","1.18 [0.70, 1.77]","0.99 [0.36, 1.68]","0.78 [0.01, 0.98]","1.27 [-0.24, 1.58]","0.47 [-0.20, 1.00]",0,37
xnoe0,"1.54 [1.09, 2.00]","1.39 [1.02, 1.83]","0.91 [0.11, 1.64]","0.82 [0.01, 0.98]","1.47 [-0.30, 1.79]","0.42 [-0.27, 0.95]",0,37
qsicn,"1.58 [1.44, 1.70]","1.57 [1.44, 1.70]","-1.57 [-1.7, -1.44]","1.00 [0.00, 1.00]",1.06,,0,2
epvmk,"1.66 [1.20, 2.15]","1.50 [1.07, 1.96]","1.12 [0.31, 1.82]","0.82 [0.02, 0.98]","1.47 [-0.21, 1.8]","0.42 [-0.25, 0.95]",0,37
4o0ia,"1.73 [1.33, 2.17]","1.62 [1.29, 2.02]","1.31 [0.53, 1.93]","0.87 [0.03, 0.99]","1.50 [0.07, 1.84]","0.56 [-0.07, 1.00]",0,36
ko8yx,"1.75 [1.08, 2.45]","1.44 [0.87, 2.12]","1.38 [0.74, 2.10]","0.97 [0.88, 1.00]","1.66 [1.46, 2.28]","0.91 [0.69, 1.00]",0,27
2umai,"1.76 [1.21, 2.35]","1.54 [1.04, 2.11]","1.31 [0.55, 2.03]","0.82 [0.02, 0.98]","1.43 [-0.02, 1.77]","0.47 [-0.17, 0.95]",0,37
cm2yq,"1.77 [1.22, 2.36]","1.55 [1.06, 2.12]","1.33 [0.57, 2.04]","0.82 [0.02, 0.98]","1.43 [-0.02, 1.76]","0.47 [-0.17, 0.95]",0,37
nxaaw,"1.80 [0.84, 2.80]","1.34 [0.80, 2.18]","0.16 [-0.77, 1.41]","0.59 [0.02, 0.97]","1.37 [-0.08, 2.92]","0.6 [-0.05, 1.00]",0,30
wcvnu,"1.90 [1.14, 2.64]","1.57 [0.97, 2.27]","1.44 [0.70, 2.24]","0.97 [0.91, 1.00]","1.78 [1.58, 2.48]","0.91 [0.69, 1.00]",0,27
