ID,RMSE,MAE,ME,R2,m,kendall_tau,unmatched exp. pKas,"unmatched pred. pKas [2,12]"
xvxzd,"0.68 [0.54, 0.81]","0.58 [0.45, 0.71]","0.24 [-0.01, 0.45]","0.94 [0.88, 0.97]","0.92 [0.84, 1.02]","0.82 [0.68, 0.92]",2,4
gyuhx,"0.73 [0.55, 0.91]","0.59 [0.44, 0.74]","0.03 [-0.23, 0.28]","0.93 [0.88, 0.96]","0.98 [0.90, 1.08]","0.88 [0.80, 0.94]",0,7
xmyhm,"0.79 [0.52, 1.03]","0.56 [0.38, 0.77]","0.13 [-0.14, 0.41]","0.92 [0.85, 0.97]","0.96 [0.86, 1.08]","0.81 [0.68, 0.90]",0,3
nb017,"0.94 [0.72, 1.16]","0.77 [0.58, 0.97]","-0.16 [-0.49, 0.16]","0.88 [0.81, 0.94]","0.94 [0.82, 1.08]","0.73 [0.60, 0.84]",0,6
nb007,"0.95 [0.73, 1.15]","0.78 [0.60, 0.97]","0.05 [-0.29, 0.37]","0.88 [0.77, 0.95]","0.84 [0.77, 0.92]","0.79 [0.65, 0.89]",0,13
yqkga,"1.01 [0.78, 1.23]","0.80 [0.59, 1.03]","-0.17 [-0.51, 0.19]","0.87 [0.78, 0.93]","0.93 [0.77, 1.08]","0.83 [0.72, 0.91]",0,1
nb010,"1.03 [0.77, 1.26]","0.81 [0.61, 1.04]","0.24 [-0.11, 0.59]","0.87 [0.77, 0.94]","0.95 [0.83, 1.08]","0.80 [0.67, 0.90]",0,4
8xt50,"1.07 [0.78, 1.36]","0.81 [0.58, 1.07]","-0.47 [-0.82, -0.14]","0.91 [0.84, 0.95]","1.08 [0.94, 1.22]","0.80 [0.68, 0.89]",0,0
nb013,"1.10 [0.72, 1.47]","0.80 [0.56, 1.09]","-0.15 [-0.55, 0.22]","0.88 [0.78, 0.95]","1.09 [0.90, 1.25]","0.79 [0.64, 0.90]",0,6
nb015,"1.27 [0.98, 1.56]","1.04 [0.80, 1.31]","0.13 [-0.32, 0.56]","0.87 [0.80, 0.93]","1.16 [0.94, 1.34]","0.78 [0.66, 0.86]",0,0
p0jba,"1.31 [0.69, 1.73]","1.08 [0.43, 1.72]","-0.92 [-1.72, -0.11]","0.91 [0.51, 1.00]","1.18 [0.36, 1.72]","0.80 [0.00, 1.00]",0,0
37xm8,"1.41 [0.93, 1.84]","1.01 [0.68, 1.38]","-0.18 [-0.69, 0.32]","0.83 [0.70, 0.93]","1.16 [0.98, 1.33]","0.70 [0.56, 0.83]",1,1
mkhqa,"1.60 [1.13, 2.05]","1.24 [0.90, 1.62]","-0.32 [-0.89, 0.21]","0.80 [0.67, 0.91]","1.14 [0.98, 1.34]","0.64 [0.44, 0.79]",0,6
